h_1,min,h_10,h_20,h_3,h_17,label
71983056.35017663,-18852.61328125,0.029627416501943,0.0005182525480681,274.3011250156344,4.468730731962113,1
49128511.853078686,-17413.173828125,5.129875221036457,0.148660632250177,650.5210160475848,3.066307529970118,1
24948400.39792472,-17565.09375,2.556357201467206,0.13757193228972,92.99080177089776,2.0109658441048306,1
16060449.877552276,-17569.22265625,0.9186991607032452,0.0008802009204163,99.01896846260108,0.92918395317611,1
21777186.629845817,-17581.71484375,3.0481957364677683,0.0282128030666238,152.81761226677347,1.7073624210923004,1
49878006.7349156,-17570.140625,3.481650800505649,0.135908880034695,181.59384340367416,3.311616113167775,1
47114431.3625986,-17540.9765625,0.793430267651839,0.030874378467489,224.9793525772994,0.5470368600027332,1
55186182.88898408,-17552.0,0.7720543681498668,0.0195378390274553,480.4281992051206,0.958627829064239,1
39463628.45131086,-17564.1640625,1.6678502180843613,0.0112142953726258,147.96572591863804,3.074753450516074,1
46522408.28388647,-17572.154296875,1.617195389625352,0.0121781061935926,336.13978436624245,2.928154909671503,1
24342900.544779785,-17359.01953125,19.226005851182023,1.174323723809379,235.9255406660967,4.036025912010251,1
43083306.85890295,-17294.33203125,4.631179252230353,0.2322744438353803,127.94709223125729,6.970317959356108,1
43459430.12456495,-17319.70703125,5.205392005025404,0.3664367525264586,898.6718662758379,1.7132783066952424,1
55316693.46373861,-17378.341796875,2.261413461693929,0.049544628173177,117.2492130867816,8.105456053124168,1
9956961.577072218,-17293.5390625,11.569434550966882,0.0205984808227161,179.56968083915137,1.841444751930425,1
61865186.72367509,-17364.841796875,0.6793240270503826,0.0582800856083159,189.88218739488133,5.886791159932734,1
56772332.08762419,-17353.005859375,0.3545806692947315,0.0009991573565512,131.53192343548832,6.594269422597981,1
58159722.196208775,-17363.20703125,2.41586030124872,0.5271977807171943,177.71217620482005,4.973349856752085,1
34645314.156690694,-17279.244140625,1.4677763211514232,0.011042399345938,101.9615837919084,3.626263089570004,1
