mean,std,min,max,ptp,rms,h_1,h_2,h_3,h_4,h_5,h_6,h_7,h_8,h_9,h_10,h_11,h_12,h_13,h_14,h_15,h_16,h_17,h_18,h_19,h_20,label,sensor,condicao,banda,arquivo,nome
-3.83484950026501,12283.417615547216,-18852.61328125,18468.203125,37320.81640625,12283.394594454594,71983056.35017663,0.7319616374175054,274.3011250156344,0.05815391580975264,1346.4513704800204,0.12472220924046618,3040.6820928549337,0.03704481422681984,14.206743275575542,0.029627416501943088,461.46940439531903,0.03942784445346346,227.0739136803321,0.014341238409640127,0.35538583761946263,0.004091101388566794,4.468730731962113,0.002913056902252056,1.5485803971788041,0.0005182525480681114,1,voltage,HIF,LF,Dados\raw_resampled\Voltage_HIF\LF\1.parquet,1.parquet
427.856963835644,10192.126876776885,-17413.173828125,17428.53515625,34841.708984375,10201.020510460023,49128511.853078686,160.59014987428912,650.5210160475848,30.372874060783015,2431.8991214233756,6.779246829411858,2386.492746568048,3.871129009333005,5.637603251932685,5.129875221036457,154.9578864898388,1.694703220078844,111.99085816192347,1.1665249918713512,3.019106781577735,0.9876689034640759,3.066307529970118,0.5484628918022213,1.493784959441551,0.148660632250177,1,voltage,HIF,LF,Dados\raw_resampled\Voltage_HIF\LF\10.parquet,10.parquet
-5.245344255097035,7192.2104427582635,-17565.09375,17498.658203125,35063.751953125,7192.105232141003,24948400.39792472,222.34074460677476,92.99080177089775,23.353544534183545,5642.71583014033,4.490232427807717,2196.149063939886,1.9572978511779613,2.3078999481706473,2.556357201467206,38.41082194432091,0.8149466771393227,63.146933708137816,0.5747669777482804,1.06749339336517,0.40043124200744906,2.0109658441048306,0.2627284516351099,0.5608269419100979,0.13757193228972006,1,voltage,HIF,LF,Dados\raw_resampled\Voltage_HIF\LF\100.parquet,100.parquet
-6.265021467517633,5824.336690414718,-17569.22265625,17525.91796875,35095.140625,5824.274158532448,16060449.877552275,305.5783728693672,99.01896846260108,28.743481960068635,3170.647667920664,7.438615145691972,1512.3871933271573,1.4016149741106194,1.1499924617399222,0.9186991607032453,26.554777108550894,0.3719024187255821,25.356087225972047,0.3140103135660002,0.5740941681917153,0.22080717513604592,0.9291839531761099,0.09992766391980133,0.33346663342651595,0.0008802009204163611,1,voltage,HIF,LF,Dados\raw_resampled\Voltage_HIF\LF\101.parquet,101.parquet
-8.654108886781998,6724.005797182595,-17581.71484375,17495.044921875,35076.759765625,6723.916874346666,21777186.629845817,417.2176323409047,152.81761226677347,43.13871652144237,4739.730787998328,10.078275150633148,1983.3986401891784,2.4683477777988507,2.6498999416715012,3.0481957364677683,39.734991240927386,1.2892907670579599,67.7208638500834,1.0040374112128023,1.7739984352886504,0.7012659443877084,1.7073624210923004,0.35376145091685524,0.5468604394709944,0.02821280306662389,1,voltage,HIF,LF,Dados\raw_resampled\Voltage_HIF\LF\102.parquet,102.parquet
-6.032904355357036,10201.498652564005,-17570.140625,17518.619140625,35088.759765625,10201.44115761214,49878006.7349156,189.32008047022796,181.59384340367416,21.745899028664617,10654.984541193702,4.365579369426159,3633.7358607760866,2.083539505981395,7.013336329177852,3.4816508005056486,527.4855553072049,1.4273064954217776,75.31066550203161,0.9950116730257247,1.9260293420566492,0.7137398462898706,3.311616113167775,0.5314497559860478,1.8568699383692417,0.13590888003469503,1,voltage,HIF,LF,Dados\raw_resampled\Voltage_HIF\LF\103.parquet,103.parquet
-6.334000605220564,9889.569408246523,-17540.9765625,17553.599609375,35094.576171875,9889.493336942802,47114431.3625986,117.54046721920369,224.9793525772994,12.65500738281768,9805.412980838773,2.451046451413486,3533.0560035221083,1.0512316042888667,2.9850141852341223,0.793430267651839,147.41157328100203,0.1885693571243425,118.21304724164604,0.131761413968708,0.3258240583087682,0.10571214724090504,0.5470368600027332,0.08553432200768078,1.9883026472864203,0.030874378467489055,1,voltage,HIF,LF,Dados\raw_resampled\Voltage_HIF\LF\104.parquet,104.parquet
-5.966204133973921,10689.548807311849,-17552.0,17575.1875,35127.1875,10689.476239059364,55186182.888984084,66.82157685860508,480.4281992051206,11.284152052410091,10103.786298745645,1.5614878144071045,4346.212076044277,0.6751309032293618,5.328892829561692,0.7720543681498668,67.99702064977218,0.23376537068210723,173.67497151678702,0.21952607316493453,0.7097491412991856,0.17451936049809844,0.958627829064239,0.10507253354098998,1.780913027574878,0.019537839027455362,1,voltage,HIF,LF,Dados\raw_resampled\Voltage_HIF\LF\105.parquet,105.parquet
-6.544075024713769,9004.818043775107,-17564.1640625,17493.43359375,35057.59765625,9004.72583276728,39463628.45131086,217.5540320785586,147.96572591863804,24.937268274021097,7680.2567983257595,5.503412917273271,2678.2185965090043,1.4148606082606405,6.247517841781194,1.6678502180843613,448.7729383879497,0.6482957878960408,61.925178954759964,0.5877265414521037,1.2121718034082356,0.45444315957870507,3.074753450516074,0.2604108208433924,1.1747370896205884,0.011214295372625867,1,voltage,HIF,LF,Dados\raw_resampled\Voltage_HIF\LF\106.parquet,106.parquet
-3.7863813235936483,9819.919324899223,-17572.154296875,17569.90625,35142.060546875,9819.841078217456,46522408.28388647,134.47887905104307,336.13978436624245,15.031689933380212,8664.896072739892,2.101882393362267,3062.5646518835533,0.5518823611467207,6.948950862537827,1.6171953896253521,132.9471231764799,1.0386807198384296,141.33282928086592,1.0819706406637675,2.422938268934,0.9858170217751415,2.928154909671503,0.6878981522717544,1.4657089372073027,0.012178106193592624,1,voltage,HIF,LF,Dados\raw_resampled\Voltage_HIF\LF\107.parquet,107.parquet
